url,movie title,movie link,Image Card,Image Card_link
https://www.mxplayer.in/movies,"Theri
Action, Hindi, 2016",https://www.mxplayer.in/movie/watch-theri-movie-online-03f114e7f992e895fc16a4687a93c30b,https://j2apps.s.llnwi.net/is1/media/images/03f114e7f992e895fc16a4687a93c30b/2x3/2x/test_pic1538056754396_logo.jpg,https://www.mxplayer.in/movie/watch-theri-movie-online-03f114e7f992e895fc16a4687a93c30b
https://www.mxplayer.in/movies,"Janatha Garage
Action, Hindi, 2017",https://www.mxplayer.in/movie/watch-janatha-garage-movie-online-04ce577554791f36d5a8211f1c48fdf6,https://j2apps.s.llnwi.net/is1/media/images/04ce577554791f36d5a8211f1c48fdf6/2x3/2x/test_pic1551189281606.jpg,https://www.mxplayer.in/movie/watch-janatha-garage-movie-online-04ce577554791f36d5a8211f1c48fdf6
https://www.mxplayer.in/movies,"Ek Yodha Shoorveer | Hindi Dub
Hollywood Dub, Hindi, 2016",https://www.mxplayer.in/movie/watch-ek-yodha-shoorveer-hindi-dub-movie-online-6127d1d14cc91ef67c38c65692063436,https://j2apps.s.llnwi.net/is1/media/images/6127d1d14cc91ef67c38c65692063436/2x3/2x/test_pic1536760943975.jpg,https://www.mxplayer.in/movie/watch-ek-yodha-shoorveer-hindi-dub-movie-online-6127d1d14cc91ef67c38c65692063436
https://www.mxplayer.in/movies,"Yevadu
Action, Hindi, 2014",https://www.mxplayer.in/movie/watch-yevadu-movie-online-0469f57ba4937f89d8c7af1aae17dd50,https://j2apps.s.llnwi.net/is1/media/images/0469f57ba4937f89d8c7af1aae17dd50/2x3/2x/test_pic1538056914289_logo.jpg,https://www.mxplayer.in/movie/watch-yevadu-movie-online-0469f57ba4937f89d8c7af1aae17dd50
https://www.mxplayer.in/movies,"Rowdy Hero 2
Action, Hindi, 2016",https://www.mxplayer.in/movie/watch-rowdy-hero-2-movie-online-8f0ed2badfee53ac3aac17bc67307c76,https://j2apps.s.llnwi.net/is1/media/images/8f0ed2badfee53ac3aac17bc67307c76/2x3/2x/test_pic1541401530559.jpg,https://www.mxplayer.in/movie/watch-rowdy-hero-2-movie-online-8f0ed2badfee53ac3aac17bc67307c76
https://www.mxplayer.in/movies,"Phool Aur Kaante
Action, Hindi, 1991",https://www.mxplayer.in/movie/watch-phool-aur-kaante-movie-online-4372de94e408755f2869dbda5cc4bddf,https://j2apps.s.llnwi.net/is1/media/images/4372de94e408755f2869dbda5cc4bddf/2x3/2x/test_pic1531035453386.jpg,https://www.mxplayer.in/movie/watch-phool-aur-kaante-movie-online-4372de94e408755f2869dbda5cc4bddf
https://www.mxplayer.in/movies,"Jigar
Action, Hindi, 1992",https://www.mxplayer.in/movie/watch-jigar-movie-online-3fd87d5aaecdbc9af13662125ab54584,https://j2apps.s.llnwi.net/is1/media/images/3fd87d5aaecdbc9af13662125ab54584/2x3/2x/test_pic1550728917164.jpg,https://www.mxplayer.in/movie/watch-jigar-movie-online-3fd87d5aaecdbc9af13662125ab54584
https://www.mxplayer.in/movies,"Hogi Pyar Ki Jeet
Romance, Hindi, 1999",https://www.mxplayer.in/movie/watch-hogi-pyar-ki-jeet-movie-online-8bac54e042278b9f1ecb9ba48e63d9cd,https://j2apps.s.llnwi.net/is1/media/images/8bac54e042278b9f1ecb9ba48e63d9cd/2x3/2x/test_pic1539348593612.jpg,https://www.mxplayer.in/movie/watch-hogi-pyar-ki-jeet-movie-online-8bac54e042278b9f1ecb9ba48e63d9cd
https://www.mxplayer.in/movies,"Divya Shakti
Action, Hindi, 1993",https://www.mxplayer.in/movie/watch-divya-shakti-movie-online-5343876bb0d5ba0dd4acb854af1e75c6,https://j2apps.s.llnwi.net/is1/media/images/5343876bb0d5ba0dd4acb854af1e75c6/2x3/2x/test_pic1532868239208.jpg,https://www.mxplayer.in/movie/watch-divya-shakti-movie-online-5343876bb0d5ba0dd4acb854af1e75c6
https://www.mxplayer.in/movies,"Zor
Action, Hindi, 1998",https://www.mxplayer.in/movie/watch-zor-movie-online-aeafe4344a42a91e8967d261828f1e03,https://j2apps.s.llnwi.net/is1/media/images/aeafe4344a42a91e8967d261828f1e03/2x3/2x/4708021530001_270x405_logo.jpg,https://www.mxplayer.in/movie/watch-zor-movie-online-aeafe4344a42a91e8967d261828f1e03
